actual_price,selling_price,offer,rating(outof5),no_of_ratings,no_of_reviews,battery,processor,warranty,product_link,Mobile_name,extracted_memory,RAM(in GB),ROM(in GB),expandable_memory,screen_size,display_type,rear_camera(in MP),front_camera(in MP),Model
29999,24999,16% off,4.3,27719,3922,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-256-gb/p/itm5bd7da24f41ef?pid=MOBGQFX6H2H2UHFZ&lid=LSTMOBGQFX6H2H2UHFZML9ANG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX6H2H2UHFZ.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,256 GB,12 GB,256 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
17999,11999,33% off,4.4,141,7540,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,4 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
17999,11999,33% off,4.4,141,7540,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,4 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
20999,14999,28% off,4.3,55634,3278,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,8 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
20999,14999,28% off,4.3,55634,3278,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,8 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
20999,14999,28% off,4.3,55634,3278,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASX1YPF2N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,8 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
27999,22999,17% off,4.4,16546,2285,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-128-gb/p/itmcfb87467e7d9a?pid=MOBGQFX6AG2JD2XT&lid=LSTMOBGQFX6AG2JD2XTSPSYR7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX6AG2JD2XT.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,128 GB,8 GB,128 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
16999,14999,11% off,4.4,95040,6063,5000.0,Dimensity 6100+ Processor,1.0,https://www.flipkart.com/realme-11x-5g-midnight-black-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2WFP7X8263G&lid=LSTMOBGS2WFP7X8263G7TE3WT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGS2WFP7X8263G.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,realme 11x 5G,128 GB,6 GB,128 GB,Not Expandable,17.07 cm,Full HD,66.0MP,8MP,realme
17999,13999,22% off,4.2,37879,3700,6000.0,Dimensity 7020 Processor,1.0,https://www.flipkart.com/motorola-g54-5g-pearl-blue-128-gb/p/itm8d5c2baa065c6?pid=MOBGQFX8TMM555GW&lid=LSTMOBGQFX8TMM555GWMGXPWV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX8TMM555GW.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,MOTOROLA g54 5G,128 GB,8 GB,128 GB,Not Expandable,16.51 cm,Full HD,58.0MP,16MP,MOTOROLA
21999,15999,27% off,4.2,44755,4058,6000.0,Dimensity 7020 Processor,1.0,https://www.flipkart.com/motorola-g54-5g-mint-green-256-gb/p/itm9f608c1154160?pid=MOBGQFX8XGUATGRT&lid=LSTMOBGQFX8XGUATGRTUMNQ7U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX8XGUATGRT.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,MOTOROLA g54 5G,256 GB,12 GB,256 GB,Not Expandable,16.51 cm,Full HD,58.0MP,16MP,MOTOROLA
18999,15999,15% off,4.3,11101,763,5000.0,Dimensity 6100+ Processor,1.0,https://www.flipkart.com/realme-11x-5g-purple-dawn-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2W3YT99HRJ4&lid=LSTMOBGS2W3YT99HRJ4VRKJQ9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGS2W3YT99HRJ4.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,realme 11x 5G,128 GB,8 GB,128 GB,Not Expandable,17.07 cm,Full HD,66.0MP,8MP,realme
16999,14999,11% off,4.4,95040,6063,5000.0,Dimensity 6100+ Processor,1.0,https://www.flipkart.com/realme-11x-5g-purple-dawn-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2WFBDQBD2B4&lid=LSTMOBGS2WFBDQBD2B4EI4NMP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGS2WFBDQBD2B4.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,realme 11x 5G,128 GB,6 GB,128 GB,Not Expandable,17.07 cm,Full HD,66.0MP,8MP,realme
11999,6499,45% off,4.2,88477,5431,5000.0,Mediatek Helio G85 Processor,1.0,https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,POCO C55,64 GB,4 GB,64 GB,Not Expandable,17.04 cm,HD,50.0MP,5MP,POCO
9999,5499,45% off,4.0,153,8498,5000.0,Helio G36 Processor,1.0,https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWB3MAZ2P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,POCO C51 - Locked with Airtel Prepaid,64 GB,4 GB,64 GB,Not Expandable,16.56 cm,HD,8.0MP,5MP,POCO
17999,13999,22% off,4.2,37879,3700,6000.0,Dimensity 7020 Processor,1.0,https://www.flipkart.com/motorola-g54-5g-midnight-blue-128-gb/p/itm1867d5933e9e8?pid=MOBGQFX8P4HFEUCD&lid=LSTMOBGQFX8P4HFEUCDCDMGCN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX8P4HFEUCD.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,MOTOROLA g54 5G,128 GB,8 GB,128 GB,Not Expandable,16.51 cm,Full HD,58.0MP,16MP,MOTOROLA
9999,5999,40% off,4.0,153,8498,5000.0,Helio G36 Processor,1.0,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,POCO C51,64 GB,4 GB,64 GB,Not Expandable,16.56 cm,HD,8.0MP,5MP,POCO
18999,15999,15% off,4.3,11101,763,5000.0,Dimensity 6100+ Processor,1.0,https://www.flipkart.com/realme-11x-5g-midnight-black-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2W3KYRQF4GZ&lid=LSTMOBGS2W3KYRQF4GZO4BBGH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGS2W3KYRQF4GZ.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,realme 11x 5G,128 GB,8 GB,128 GB,Not Expandable,17.07 cm,Full HD,66.0MP,8MP,realme
17999,11999,33% off,4.4,141,7540,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSH0PCGX7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,4 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
18999,12999,31% off,4.4,291,16074,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,6 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
16999,11999,29% off,4.3,55838,3651,5000.0,Snapdragon 4 Gen 2 Processor,1.0,https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGRNZ3ER4N3K4F.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,POCO M6 Pro 5G,128 GB,6 GB,128 GB,Not Expandable,17.25 cm,Full HD,52.0MP,8MP,POCO
9999,5499,45% off,4.0,153,8498,5000.0,Helio G36 Processor,1.0,https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QYVHTJC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,POCO C51 - Locked with Airtel Prepaid,64 GB,4 GB,64 GB,Not Expandable,16.56 cm,HD,8.0MP,5MP,POCO
13999,6999,50% off,4.2,18564,1066,5000.0,Helio G85 Processor,1.0,https://www.flipkart.com/redmi-12c-matte-black-64-gb/p/itm25f1034a0a65f?pid=MOBGZH88FRJ8GYXZ&lid=LSTMOBGZH88FRJ8GYXZHLG6GR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGZH88FRJ8GYXZ.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,REDMI 12C,64 GB,4 GB,64 GB,Not Expandable,17.04 cm,HD,50.0MP,5MP,REDMI
29999,24999,16% off,4.3,27719,3922,5000.0,Dimensity 7030 Processor,1.0,https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-256-gb/p/itm55813a9671489?pid=MOBGQFX6APUFAPMS&lid=LSTMOBGQFX6APUFAPMSO5N7CJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGQFX6APUFAPMS.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,MOTOROLA Edge 40 Neo,256 GB,12 GB,256 GB,Not Expandable,16.64 cm,Full HD,63.0MP,32MP,MOTOROLA
13999,7499,46% off,4.1,100,6030,5000.0,Mediatek Helio G85 Processor,1.0,https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,POCO C55,128 GB,6 GB,128 GB,Not Expandable,17.04 cm,HD,50.0MP,5MP,POCO
18999,12999,31% off,4.4,291,16074,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,6 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
18999,12999,31% off,4.4,291,16074,5000.0,Dimensity 6020 Processor,1.0,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=6a0670c9-9ee3-49f9-9336-713b5d300733.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=ple6c46n3k0000001703701038096&qH=eb4af0bf07c16429,vivo T2x 5G,128 GB,6 GB,128 GB,Not Expandable,16.71 cm,Full HD,52.0MP,8MP,vivo
