,name,actual_price,selling_price,offer,rating(outof5),no_of_ratings,no_of_reviews,image_url,memory,dimension,camera,battery,processor,warranty,product_link
0,"APPLE iPhone 14 (Starlight, 128 GB)","₹69,900","₹58,999",15% off,4.6,"2,55,867 Ratings "," 9,906 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HCNASCL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
1,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)","₹29,999","₹24,999",16% off,4.3,"27,719 Ratings "," 3,922 Reviews",,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-256-gb/p/itm5bd7da24f41ef?pid=MOBGQFX6H2H2UHFZ&lid=LSTMOBGQFX6H2H2UHFZML9ANG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGQFX6H2H2UHFZ.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
2,"APPLE iPhone 14 (Blue, 128 GB)","₹69,900","₹57,999",17% off,4.6,"2,55,867 Ratings "," 9,906 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAFEQJQ4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
3,"APPLE iPhone 14 (Midnight, 128 GB)","₹69,900","₹58,999",15% off,4.6,"2,55,867 Ratings "," 9,906 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCXXRTRJG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGHWFHECFVMDCX.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
4,"APPLE iPhone 14 (Purple, 128 GB)","₹69,900","₹58,999",15% off,4.6,"2,55,867 Ratings "," 9,906 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/apple-iphone-14-purple-128-gb/p/itm0b581eba85e08?pid=MOBGHWFHQFSQYBFU&lid=LSTMOBGHWFHQFSQYBFUUF0OWI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGHWFHQFSQYBFU.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
5,"vivo T2x 5G (Glimmer Black, 128 GB)","₹17,999","₹11,999",33% off,4.4,"1,41,986 Ratings "," 7,540 Reviews",,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
6,"vivo T2x 5G (Marine Blue, 128 GB)","₹17,999","₹11,999",33% off,4.4,"1,41,986 Ratings "," 7,540 Reviews",,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
7,"vivo T2x 5G (Marine Blue, 128 GB)","₹20,999","₹14,999",28% off,4.3,"55,634 Ratings "," 3,278 Reviews",,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
8,"vivo T2x 5G (Glimmer Black, 128 GB)","₹20,999","₹14,999",28% off,4.3,"55,634 Ratings "," 3,278 Reviews",,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
9,"vivo T2x 5G (Aurora Gold, 128 GB)","₹20,999","₹14,999",28% off,4.3,"55,634 Ratings "," 3,278 Reviews",,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASX1YPF2N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=761db833-1fb1-4697-8cf9-445662b1f185.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=qa7ytdy8b40000001703701031308&qH=eb4af0bf07c16429
